Custom Office,Reg Number,Importer,HS Code,FOB Value (N),CIF Value (N),Total Tax(N),Receipt Number,Receipt Date,Mass(KG),Country  of Origin,Country  of Supply,Nbr Of Containers,Container Nbr,Container Size
NT,C42764,11327,37200000,124117116,131611390,15969436,R50329,2021-06-05,56000,China,Lebanon,8,TGHU8753780,40HC
NT,C42764,11327,37200000,124117116,131611390,15969436,R50329,2021-06-05,56000,China,Lebanon,8,TCLU5336146,40HC
NT,C42765,93706,2131000,3118430,3776229,454918,R50865,2021-09-05,3360,United Kingdom,United Kingdom,1,MEDU8878398,40HC
NT,C42770,11327,4409000,80410696,85906602,5831136,R50325,2021-06-05,143748,Lebanon,Lebanon,6,CMAU5051073,45G1
NT,C42770,11327,4409000,80410696,85906602,5831136,R50325,2021-06-05,143748,Lebanon,Lebanon,6,FSCU9143491,45G1
NT,C42770,11327,4409000,80410696,85906602,5831136,R50325,2021-06-05,143748,Lebanon,Lebanon,6,CMAU4862693,45G1
NT,C42770,11327,4409000,80410696,85906602,5831136,R50325,2021-06-05,143748,Lebanon,Lebanon,6,BMOU6102260,45G1
NT,C42770,11327,4409000,80410696,85906602,5831136,R50325,2021-06-05,143748,Lebanon,Lebanon,6,GESU5876156,45G1
NT,C42770,11327,4409000,80410696,85906602,5831136,R50325,2021-06-05,143748,Lebanon,Lebanon,6,ECMU9628335,45G1
NT,C42777,3614,36500000,2488528,2886437,511814,R50867,2021-09-05,14200,China,China,1,CLHU8665278,45G1
NT,C42777,3614,4409000,2735172,3172674,214445,R50867,2021-09-05,10000,China,China,1,CLHU8665278,45G1
NT,C4422,69380,44491000,5531390,6369845,1126983,R5897,2021-01-13,16620,China,China,1,CMAU8169563,42G1
NT,C42788,83896,28739000,101676,101655,30663,R49765,2021-05-05,800,Belgium,Belgium,0,Unknown,Unknown
NT,C4423,36824,39290000,825060,895586,260520,R4911,2021-12-01,4000,China,China,1,FSCU8494830,40HC
NT,C4423,36824,15110000,1768296,1919592,131470,R4911,2021-12-01,6000,China,China,1,FSCU8494830,40HC
NT,C42798,84213,28739000,251790,251790,74269,R49793,2021-05-05,2165,Italy,Italy,1,MSKU9150861,45G1
NT,C42807,73857,21901000,100100,150138,44219,R50430,2021-06-05,1000,United States,United States,1,TCNU4862605,40GP
NT,C42807,73857,28729000,119800,179688,80749,R50430,2021-06-05,1000,China,United States,1,TCNU4862605,40GP
NT,C42808,53524,15110000,1671175,1950915,132332,R50479,2021-06-05,13000,China,China,2,ECMU1599971,22G1
NT,C42808,53524,15110000,1671175,1950915,132332,R50479,2021-06-05,13000,China,China,2,CRXU1585304,22G1
NT,C42809,73857,21901000,297100,718286,205341,R50434,2021-06-05,1000,United States,United States,1,TCLU6666055,40GP
NT,C42809,73857,28729000,7510,15784,7869,R50434,2021-06-05,1000,China,United States,1,TCLU6666055,40GP
NT,C42837,27339,28719000,51638,51622,16132,R49848,2021-05-05,450,Italy,Italy,0,Unknown,Unknown
NT,C42839,37381,4409000,9240309,10166997,688664,R49804,2021-05-05,20840,China,China,1,BMOU4967599,40DV
NT,C42854,25367,16791000,3153600,3705594,1072230,R62319,2021-03-06,3061,China,China,1,CBHU9114726,40HC
NT,C42854,25367,16791000,541183,635743,184796,R62319,2021-03-06,3000,China,China,1,CBHU9114726,40HC
NT,C42866,21214,18500000,101676,101676,30670,R49847,2021-05-05,450,Germany,Germany,0,Unknown,Unknown
NT,C42869,44077,2111000,312156965,321448495,39096454,R50717,2021-06-05,74300,United Kingdom,United Kingdom,6,CLHU8783516,40HC
NT,C42869,44077,2111000,312156965,321448495,39096454,R50717,2021-06-05,74300,United Kingdom,United Kingdom,6,CLHU8022902,40HC
NT,C42869,44077,2111000,312156965,321448495,39096454,R50717,2021-06-05,74300,United Kingdom,United Kingdom,6,GATU8602702,40HC
NT,C42869,44077,2111000,312156965,321448495,39096454,R50717,2021-06-05,74300,United Kingdom,United Kingdom,6,CLHU8551064,40HC
NT,C42869,44077,2111000,312156965,321448495,39096454,R50717,2021-06-05,74300,United Kingdom,United Kingdom,6,CLHU8070428,40HC
