Custom Office,Reg Number,Importer,HS Code,FOB Value (N),CIF Value (N),Total Tax(N),Receipt Number,Receipt Date,Mass(KG),Country  of Origin,Country  of Supply,Nbr Of Containers,Container Nbr,Container Size
UA PORT,C1195,29143,12900000,1046575,1119220,137105,R599,2021-07-03,126,Germany,Germany,0,N/A,N/A
UA PORT,C1195,29143,36700000,216957,232002,68365,R599,2021-07-03,26,Germany,Germany,0,N/A,N/A
UA PORT,C1195,29143,39390000,172037,183858,54415,R599,2021-07-03,21,Germany,Germany,0,N/A,N/A
UA PORT,C1277,62056,40890000,776007,915286,162868,R621,2021-08-03,71,Belgium,Belgium,0,N/A,N/A
UA PORT,C1292,93763,37100000,234651,301040,37415,R614,2021-08-03,45,Turkey,Turkey,0,N/A,N/A
UA PORT,C1295,53015,4401000,306950,371435,26291,R615,2021-08-03,106,China,China,0,N/A,N/A
UA PORT,C1309,15979,31200000,41000,64741,1600,Unknown,,406,Azerbaijan,Azerbaijan,0,N/A,N/A
UA PORT,C1315,9026,41100000,178900,219088,27733,R636,2021-09-03,2418,Germany,"Taiwan, Province of China",0,N/A,N/A
UA PORT,C1322,34392,41100000,37060,43758,6678,R634,2021-09-03,42,United States,United States,0,N/A,N/A
UA PORT,C1343,8577,17620000,494100,1568144,181979,R650,2021-10-03,889,United Kingdom,Canada,0,N/A,N/A
UA PORT,C1355,1057,6800000,4300140,8536566,1600,Unknown,,2800,Finland,Denmark,0,N/A,N/A
UA PORT,C1363,90244,36610000,257700,464573,81885,R657,2021-11-03,345,Canada,Canada,0,N/A,N/A
UA PORT,C1410,94093,4900000,16375,125146,8977,R678,2021-03-16,69,Germany,Belgium,0,N/A,N/A
UA PORT,C1413,17241,6500000,51835,53295,16601,R668,2021-03-15,8,Republic of South Africa,Republic of South Africa,0,N/A,N/A
UA PORT,C1417,52506,28729000,74010,86923,39688,R669,2021-03-15,14,Republic of South Africa,Republic of South Africa,0,N/A,N/A
UA PORT,C286,55084,7800000,415103,420225,123139,R245,2021-01-14,36,Republic of South Africa,Republic of South Africa,0,N/A,N/A
UA PORT,C287,934,39900000,1082582,1178316,210170,R261,2021-01-19,126,Italy,Italy,0,N/A,N/A
UA PORT,C1434,1057,40200000,43077,74600,1600,Unknown,,5,Denmark,Denmark,0,N/A,N/A
UA PORT,C1469,34481,29100000,26313533,27435245,1600,Unknown,,405,"Korea, Republic of",Hong Kong,0,N/A,N/A
UA PORT,C1514,26327,41409000,114437,123894,3341,R707,2021-03-22,92,Germany,Germany,0,N/A,N/A
UA PORT,C1516,26327,1520000,216527,231142,29437,R706,2021-03-22,75,Germany,Germany,0,N/A,N/A
UA PORT,C1516,26327,41409000,75105,80263,2730,R706,2021-03-22,60,Germany,Germany,0,N/A,N/A
UA PORT,C1529,29143,37100000,479383,1257419,146549,R903,2021-04-21,101,Germany,Germany,0,N/A,N/A
UA PORT,C1537,934,44499000,81553,105840,31624,R716,2021-03-23,19,France,France,0,N/A,N/A
UA PORT,C1538,934,29100000,59200,112072,33134,R718,2021-03-23,90,France,France,0,N/A,N/A
UA PORT,C1548,71564,6800000,49908,93315,27786,R713,2021-03-23,122,Canada,Canada,0,N/A,N/A
UA PORT,C1556,34481,17700000,356200,553625,37442,R723,2021-03-23,58,China,China,0,N/A,N/A
UA PORT,C1606,34942,28729000,125933,145624,66512,R747,2021-03-30,30,United Kingdom,United Kingdom,0,N/A,N/A
UA PORT,C305,96698,27130000,118374,175885,51619,R218,2021-12-01,63,United Kingdom,United Kingdom,0,N/A,N/A
UA PORT,C1610,76349,4900000,227756,246201,18174,R735,2021-03-29,1,Netherlands,Netherlands,0,N/A,N/A
UA PORT,C1628,96234,18100000,395600,458049,1600,Unknown,,40,Kenya,Kenya,0,N/A,N/A
UA PORT,C1631,6303,4310000,253760,391463,47691,R743,2021-03-30,130,India,India,0,N/A,N/A
UA PORT,C1645,9908,7300000,88216,106055,31754,R754,2021-03-30,30,Belgium,Belgium,0,N/A,N/A
UA PORT,C1651,62056,36300000,113890,221452,64329,R762,2021-03-31,7,Belgium,Belgium,0,N/A,N/A
UA PORT,C1652,97197,29900000,80400,149744,27259,R756,2021-03-30,3,Israel,United States,0,N/A,N/A
UA PORT,C1672,84389,41100000,194857,207662,26614,R764,2021-03-31,61,India,India,0,N/A,N/A
UA PORT,C1705,43126,40110000,216527,476588,1600,Unknown,,221,Poland,Poland,0,N/A,N/A
UA PORT,C320,24901,6800000,55224640,56810174,16485005,R227,2021-01-13,341,Malaysia,Malaysia,0,N/A,N/A
UA PORT,C1761,934,44300000,61281,107051,31751,R791,2021-06-04,16,France,France,0,N/A,N/A
UA PORT,C1763,88317,37200000,68460,87082,11830,R795,2021-06-04,1,Italy,Italy,0,N/A,N/A
UA PORT,C1788,48131,1520000,1506403,1716855,208526,R812,2021-07-04,128,Germany,Germany,0,N/A,N/A
UA PORT,C1789,67058,6500000,70550,121513,35896,R806,2021-07-04,45,China,China,0,N/A,N/A
UA PORT,C1793,19361,4900000,479884,650671,44355,R809,2021-07-04,88,Switzerland,Switzerland,0,N/A,N/A
UA PORT,C1801,75064,28729000,495199,675587,301621,R815,2021-07-04,151,Germany,Germany,0,N/A,N/A
UA PORT,C1888,96234,18100000,412144,625627,1600,Unknown,,18,Kenya,Kenya,0,N/A,N/A
UA PORT,C1890,59989,28729000,63985,93351,42394,R858,2021-04-13,99,Canada,Canada,0,N/A,N/A
UA PORT,C1915,67947,28711000,253639100,256613638,31257792,R960,2021-04-28,33231,Hong Kong,Hong Kong,0,N/A,N/A
UA PORT,C1916,41413,28729000,65955,114382,51615,R869,2021-04-15,50,United Arab Emirates,United Arab Emirates,0,N/A,N/A
UA PORT,C1917,51037,31900000,90250,101139,13624,R870,2021-04-15,25,Ethiopia,India,0,N/A,N/A
UA PORT,C1927,26327,5110000,1335214,1445152,99386,R887,2021-04-19,34,Germany,Germany,0,N/A,N/A
UA PORT,C1959,29143,11900000,432153,496993,61321,R902,2021-04-21,43,Germany,Germany,0,N/A,N/A
UA PORT,C1959,29143,12200000,378979,435967,78364,R902,2021-04-21,43,Germany,Germany,0,N/A,N/A
UA PORT,C1959,29143,31800000,48941,55896,11200,R902,2021-04-21,43,Germany,Germany,0,N/A,N/A
UA PORT,C1959,29143,36500000,2946,3170,1878,R902,2021-04-21,43,Germany,Germany,0,N/A,N/A
UA PORT,C1963,13414,6800000,1797,2191,1600,Unknown,,213,Belgium,Finland,0,N/A,N/A
UA PORT,C1973,1625,25500000,46473,113487,1600,Unknown,,15,United Arab Emirates,United Arab Emirates,0,N/A,N/A
UA PORT,C2004,934,36690000,1667720,1787529,800353,R936,2021-04-26,164,Italy,Italy,0,N/A,N/A
UA PORT,C2009,96234,6500000,3048658,4515326,1600,Unknown,,960,Switzerland,Switzerland,0,N/A,N/A
UA PORT,C2013,84389,4900000,857959,1906590,121607,R908,2021-04-21,657,United States,United States,0,N/A,N/A
UA PORT,C2044,934,44200000,1106363,1715284,492948,R945,2021-04-27,1093,Belgium,Belgium,0,N/A,N/A
UA PORT,C2123,934,36200000,904661,960078,171725,R1003,2021-06-05,37,Italy,Italy,0,N/A,N/A
UA PORT,C2127,56809,28739000,139500,195551,57347,R943,2021-04-27,80,Hong Kong,Hong Kong,0,N/A,N/A
UA PORT,C2134,1386,43700000,8667630,8970813,1092815,R962,2021-04-28,70,Italy,Italy,0,N/A,N/A
UA PORT,C2134,1386,7200000,131620,136151,40635,R962,2021-04-28,70,Italy,Italy,0,N/A,N/A
UA PORT,C2134,1386,4402000,214360,221846,16614,R962,2021-04-28,70,Italy,Italy,0,N/A,N/A
UA PORT,C2139,46644,28729000,48343,69070,31608,R954,2021-04-27,26,Republic of South Africa,Republic of South Africa,0,N/A,N/A
UA PORT,C2149,26683,6500000,567936,909720,1600,Unknown,,208,France,United Kingdom,0,N/A,N/A
UA PORT,C2159,9908,7200000,74294,106154,31634,R965,2021-04-28,27,Belgium,Belgium,0,N/A,N/A
UA PORT,C2163,1175,41100000,238000,341425,42026,R968,2021-04-29,211,"Taiwan, Province of China","Taiwan, Province of China",0,N/A,N/A
UA PORT,C2172,44539,4900000,838850,907406,62965,R973,2021-04-29,154,United States,United States,0,N/A,N/A
UA PORT,C2187,82456,17110000,109950,145428,26846,R976,2021-03-05,42,Tokelau,Tokelau,0,N/A,N/A
UA PORT,C2206,934,44700000,8950841,9438509,1147078,R1029,2021-11-05,1406,United Kingdom,United Kingdom,0,N/A,N/A
UA PORT,C2212,96234,6500000,412144,937640,1600,Unknown,,30,Switzerland,Switzerland,0,N/A,N/A
UA PORT,C2214,96234,6500000,412144,937640,1600,Unknown,,44,Switzerland,Switzerland,0,N/A,N/A
UA PORT,C2221,44057,17620000,73036,143995,1600,Unknown,,120,Norway,Norway,0,N/A,N/A
UA PORT,C2224,934,4402000,474108,549494,38379,R1020,2021-10-05,112,China,China,0,N/A,N/A
UA PORT,C2234,24825,42900000,872128,999012,68656,R994,2021-05-05,105,United Arab Emirates,United Arab Emirates,0,N/A,N/A
UA PORT,C2236,96234,6500000,12138179,17054077,1600,Unknown,,4758,Switzerland,Switzerland,0,N/A,N/A
UA PORT,C2241,93613,41100000,279370,361064,44640,R995,2021-05-05,194,China,China,0,N/A,N/A
UA PORT,C2254,52935,43700000,100100,221462,27212,R999,2021-06-05,70,Hong Kong,Hong Kong,0,N/A,N/A
UA PORT,C181,92416,41500000,261640,293221,36865,R164,2021-04-01,168,Hong Kong,Hong Kong,0,N/A,N/A
UA PORT,C2261,47226,36490000,125260,126834,37960,R1222,2021-09-06,10,Swaziland,Swaziland,0,N/A,N/A
UA PORT,C2261,47226,1320000,6558492,6646628,810872,R1222,2021-09-06,10,Swaziland,Swaziland,0,N/A,N/A
UA PORT,C2275,26327,1100000,970868,1057205,129401,R1026,2021-10-05,49,Germany,Germany,0,N/A,N/A
UA PORT,C2282,26683,6500000,289575,493173,1600,Unknown,,119,United Kingdom,United Kingdom,0,N/A,N/A
UA PORT,C2291,62056,29100000,474400,539410,157726,R1064,2021-05-17,1,Republic of South Africa,Belgium,0,N/A,N/A
UA PORT,C2349,78506,40400000,218300,1193520,203643,R1041,2021-12-05,492,China,China,0,N/A,N/A
UA PORT,C2357,26146,6500000,1037419,1151411,1600,Unknown,,58,Netherlands,Netherlands,0,N/A,N/A
UA PORT,C2361,26683,44200000,2017425,4001285,1600,Unknown,,1513,United Kingdom,France,0,N/A,N/A
UA PORT,C2365,48131,1310000,170902,239028,29837,R1051,2021-05-13,7,Germany,Germany,0,N/A,N/A
UA PORT,C2433,44941,12900000,41000,223563,26748,R1069,2021-05-18,164,Hong Kong,Hong Kong,0,N/A,N/A
UA PORT,C2455,63685,41401000,12457910,13985251,196083,R1088,2021-05-19,1366,China,United States,0,N/A,N/A
UA PORT,C2457,23626,36300000,198600,303601,1600,Unknown,,145,United States,United States,0,N/A,N/A
UA PORT,C2461,55136,18400000,272297,422620,122309,R1089,2021-05-20,441,United Kingdom,United Kingdom,0,N/A,N/A
UA PORT,C2463,34392,41100000,62306,105474,13844,R1093,2021-05-20,48,Belgium,Belgium,0,N/A,N/A
UA PORT,C2465,62056,36500000,282325,384174,68670,R1098,2021-05-23,8,Italy,Italy,0,N/A,N/A
UA PORT,C2497,7601,6400000,183431,280657,81634,R1127,2021-05-31,150,United States,United States,0,N/A,N/A
UA PORT,C2516,26683,36410000,148576,276298,1600,Unknown,,140,United Kingdom,France,0,N/A,N/A
UA PORT,C2530,47226,1610000,114018,181918,22875,R1126,2021-05-31,30,Switzerland,Switzerland,0,N/A,N/A
UA PORT,C2531,4745,17110000,97598,154982,28317,R1112,2021-05-26,146,United Arab Emirates,United Arab Emirates,0,N/A,N/A
UA PORT,C2534,26683,6500000,865525,1518076,1600,Unknown,,449,United Kingdom,United Kingdom,0,N/A,N/A
UA PORT,C2535,23626,6500000,395600,616043,1600,Unknown,,1470,United States,United States,0,N/A,N/A
UA PORT,C2561,96234,6500000,237542,645375,1600,Unknown,,106,Switzerland,Switzerland,0,N/A,N/A
UA PORT,C2607,4901,43900000,556674,851257,57457,R1160,2021-03-06,248,Saudi Arabia,Saudi Arabia,0,N/A,N/A
UA PORT,C2617,96234,1310000,2661829,4933255,1600,Unknown,,3650,Switzerland,Switzerland,0,N/A,N/A
UA PORT,C2640,25657,6500000,63153,107559,31912,R1159,2021-02-06,36,Republic of South Africa,Republic of South Africa,0,N/A,N/A
UA PORT,C2655,78016,4330000,52820,63173,31629,R1162,2021-03-06,115,Czech Republic,Czech Republic,0,N/A,N/A
UA PORT,C2669,62350,35900000,85916,99509,47680,R1186,2021-06-06,263,India,India,0,N/A,N/A
UA PORT,C2670,62056,37100000,431454,529954,64988,R1194,2021-07-06,1,Belgium,Belgium,0,N/A,N/A
UA PORT,C2680,39219,41100000,154828,173335,22369,R1184,2021-06-06,40,United Arab Emirates,Republic of South Africa,0,N/A,N/A
UA PORT,C2697,65885,27130000,419281,521942,151657,R1192,2021-07-06,529,Italy,Italy,0,N/A,N/A
UA PORT,C2702,26683,44190000,3462736,6649865,1600,Unknown,,3254,France,France,0,N/A,N/A
UA PORT,C2717,62825,4320000,165307,301828,36775,R1202,2021-07-06,74,Singapore,Singapore,0,N/A,N/A
UA PORT,C2720,26327,1520000,736498,839819,102717,R1211,2021-08-06,60,Germany,Germany,0,N/A,N/A
UA PORT,C2730,26683,6500000,290028,526539,1600,Unknown,,144,United Kingdom,United Kingdom,0,N/A,N/A
UA PORT,C2755,84102,31100000,238000,322710,39863,R1224,2021-09-06,124,Israel,Israel,0,N/A,N/A
UA PORT,C2813,47330,17690000,53608,76263,10485,R1251,2021-06-14,7,Netherlands,Netherlands,0,N/A,N/A
UA PORT,C2910,59592,39220000,15390,26313,8666,R1291,2021-06-21,6,France,France,0,N/A,N/A
UA PORT,C2935,26327,36500000,549202,581737,104583,R1313,2021-06-22,35,Germany,Germany,0,N/A,N/A
UA PORT,C2935,26327,38900000,80080,84697,11685,R1313,2021-06-22,35,Germany,Germany,0,N/A,N/A
UA PORT,C2942,26683,47900000,221432,307166,1600,Unknown,,35,France,France,0,N/A,N/A
UA PORT,C2964,56336,18500000,46910,76902,23160,R1318,2021-06-23,175,"Korea, Republic of","Korea, Republic of",0,N/A,N/A
UA PORT,C2971,62056,36490000,602647,641259,186986,R1323,2021-06-24,52,Belgium,Belgium,0,N/A,N/A
UA PORT,C2974,26683,36500000,290028,318005,1600,Unknown,,10,France,France,0,N/A,N/A
UA PORT,C2981,69363,16500000,80400,148109,43445,R1322,2021-06-24,160,Germany,Germany,0,N/A,N/A
UA PORT,C2987,934,6800000,293317,332447,97287,R1376,2021-01-07,55,Italy,Italy,0,N/A,N/A
UA PORT,C3014,93763,37200000,156245,242137,30027,R1340,2021-06-27,26,Turkey,Turkey,0,N/A,N/A
UA PORT,C3028,78469,12300000,174447305,181034131,32174335,R1720,2021-08-26,7637,United Kingdom,United Kingdom,0,N/A,N/A
UA PORT,C3033,934,3000000,1129118,1155059,141966,R1405,2021-11-07,10,United Kingdom,United Kingdom,0,N/A,N/A
UA PORT,C3051,26683,31200000,578456,899188,1600,Unknown,,540,France,France,0,N/A,N/A
UA PORT,C3058,11402,17180000,2467895,2744444,487799,R1392,2021-04-07,180,United Arab Emirates,United Arab Emirates,0,N/A,N/A
UA PORT,C3074,1175,7900000,16375,28466,6261,R1357,2021-06-29,1,Netherlands,Netherlands,0,N/A,N/A
UA PORT,C3096,934,3000000,213078,250889,31600,R1379,2021-01-07,26,France,France,0,N/A,N/A
UA PORT,C3123,26683,31100000,381085,626611,1600,Unknown,,73,France,France,0,N/A,N/A
UA PORT,C3204,37482,27210000,32648,39754,12610,R1411,2021-11-07,3,Republic of South Africa,Republic of South Africa,0,N/A,N/A
UA PORT,C3207,32449,4401000,1102375,1417125,95418,R1412,2021-12-07,511,Swaziland,Swaziland,0,N/A,N/A
UA PORT,C3211,15791,28729000,233045,340187,152149,R1416,2021-12-07,212,Hong Kong,Hong Kong,0,N/A,N/A
UA PORT,C3218,26683,40110000,381085,761708,1600,Unknown,,120,France,France,0,N/A,N/A
UA PORT,C3242,87112,18300000,177160,201147,59309,R1434,2021-07-13,96,United Kingdom,United Kingdom,0,N/A,N/A
UA PORT,C3245,98947,28729000,139903,222202,99559,R1433,2021-07-13,221,Cambodia,Hong Kong,0,N/A,N/A
UA PORT,C3252,83750,6500000,29825,38590,12253,R1439,2021-07-13,15,Netherlands,Netherlands,0,N/A,N/A
UA PORT,C3258,28785,4900000,848350,1395915,91637,R1442,2021-07-13,1427,India,India,0,N/A,N/A
UA PORT,C3298,26683,47900000,1899025,3636687,1600,Unknown,,789,France,France,0,N/A,N/A
UA PORT,C3338,934,37200000,979549,1153289,140198,R1462,2021-07-19,396,France,France,0,N/A,N/A
UA PORT,C3347,77005,29100000,2075291,2995194,1600,Unknown,,1012,United States,United States,0,N/A,N/A
UA PORT,C3349,1625,21909000,25577402,26401361,1600,Unknown,,262,Hong Kong,Hong Kong,0,N/A,N/A
UA PORT,C3356,31138,29100000,8654538,9535723,1600,Unknown,,81,Denmark,Denmark,0,N/A,N/A
UA PORT,C3393,56127,41100000,305879,460947,56091,R1485,2021-07-22,115,"Taiwan, Province of China","Taiwan, Province of China",0,N/A,N/A
UA PORT,C3427,48131,38900000,215409,256731,32275,R1508,2021-07-27,27,Germany,Germany,0,N/A,N/A
UA PORT,C3427,48131,36500000,30087,35722,7620,R1508,2021-07-27,24,Germany,Germany,0,N/A,N/A
UA PORT,C3433,62056,37200000,152039,165869,21486,R1505,2021-07-26,3,Belgium,Belgium,0,N/A,N/A
UA PORT,C3445,26683,33400000,381085,415618,1600,Unknown,,4,France,France,0,N/A,N/A
UA PORT,C3472,934,36500000,146226,171896,31663,R1514,2021-07-27,80,France,France,0,N/A,N/A
UA PORT,C3502,26683,46900000,2818996,5469226,1600,Unknown,,914,France,France,0,N/A,N/A
UA PORT,C3538,26683,44499000,5915900,11580756,1600,Unknown,,7299,France,France,0,N/A,N/A
UA PORT,C3582,19133,30800000,101760,150563,19253,R1555,2021-02-08,42,China,China,0,N/A,N/A
UA PORT,C3626,25224,28739000,65533,80382,24928,R1590,2021-05-08,43,United Kingdom,United Kingdom,0,N/A,N/A
UA PORT,C3635,26683,40200000,697400,1177850,1600,Unknown,,258,France,France,0,N/A,N/A
UA PORT,C3643,23626,17690000,627600,1121514,1600,Unknown,,830,United States,United States,0,N/A,N/A
UA PORT,C3644,23626,17690000,2505600,3038013,1600,Unknown,,1656,United States,United States,0,N/A,N/A
UA PORT,C3649,26327,36500000,896051,971894,173616,R1588,2021-05-08,37,Germany,Germany,0,N/A,N/A
UA PORT,C3650,96234,6500000,1844514,2198253,1600,Unknown,,30,Switzerland,Switzerland,0,N/A,N/A
UA PORT,C3676,23626,48900000,580650,1190687,1600,Unknown,,231,United States,United States,0,N/A,N/A
UA PORT,C3677,23626,48900000,580650,1175037,1600,Unknown,,219,United States,United States,0,N/A,N/A
UA PORT,C3682,59592,39210000,12385,18300,6390,R1598,2021-09-08,7,Germany,Germany,0,N/A,N/A
UA PORT,C516,97650,4310000,198600,229245,29636,R314,2021-01-26,22,Netherlands,Netherlands,0,N/A,N/A
UA PORT,C3724,72101,36500000,99708,174507,31612,R1609,2021-10-08,34,Austria,Austria,0,N/A,N/A
UA PORT,C3735,26327,36500000,362372,385334,69705,R1634,2021-12-08,186,Germany,Germany,0,N/A,N/A
UA PORT,C3735,26327,1510000,913098,971198,119209,R1634,2021-12-08,186,Germany,Germany,0,N/A,N/A
UA PORT,C3742,63685,4409000,749670,1015094,68372,R1618,2021-10-08,92,"Taiwan, Province of China","Taiwan, Province of China",0,N/A,N/A
UA PORT,C3750,934,44600000,781592,827167,148156,R1689,2021-08-22,33,United States,United States,0,N/A,N/A
UA PORT,C3765,48131,44420000,333149,505708,146209,R1629,2021-12-08,26,Germany,Germany,0,N/A,N/A
UA PORT,C3766,57478,18400000,95500,185957,54199,R1628,2021-12-08,198,United States,United States,0,N/A,N/A
UA PORT,C521,37174,28729000,4477441,4492030,2013538,R362,2021-05-02,1264,United Arab Emirates,United Arab Emirates,0,N/A,N/A
UA PORT,C3782,64050,41100000,204424,282516,35093,R1635,2021-08-15,94,Hong Kong,Hong Kong,0,N/A,N/A
UA PORT,C523,46239,31100000,493903,673173,81602,R295,2021-01-25,124,United Kingdom,United Kingdom,0,N/A,N/A
UA PORT,C3825,26683,44200000,3713839,7100225,1600,Unknown,,1806,France,France,0,N/A,N/A
UA PORT,C3871,26683,31200000,349500,612165,1600,Unknown,,59,France,France,0,N/A,N/A
UA PORT,C3883,38116,40400000,32900,64826,12528,R1678,2021-08-19,27,United States,United States,0,N/A,N/A
UA PORT,C3948,29143,36900000,100404,107362,20366,R1712,2021-08-25,8,Germany,Germany,0,N/A,N/A
UA PORT,C3948,29143,37100000,1412682,1513921,184930,R1712,2021-08-25,110,Germany,Germany,0,N/A,N/A
UA PORT,C539,934,11300000,1190337,1265680,225944,R304,2021-01-26,641,France,France,0,N/A,N/A
UA PORT,C3953,934,44499000,138673,192946,56609,R1700,2021-08-24,157,France,France,0,N/A,N/A
UA PORT,C4005,26683,26100000,414071,468517,1600,Unknown,,4,France,France,0,N/A,N/A
UA PORT,C4012,63685,41900000,287682,398969,27708,R1727,2021-08-29,63,United Kingdom,United Kingdom,0,N/A,N/A
UA PORT,C4015,55635,2400000,2593240,2977354,201600,R1724,2021-08-29,33,Germany,Germany,0,N/A,N/A
UA PORT,C4053,29861,15800000,496565,904599,59376,R1735,2021-08-30,508,United Kingdom,United Kingdom,0,N/A,N/A
UA PORT,C4070,26683,35900000,349500,389161,1600,Unknown,,1,France,France,0,N/A,N/A
UA PORT,C4077,934,40400000,765936,840387,150208,R1739,2021-08-30,76,France,France,0,N/A,N/A
UA PORT,C4093,53165,18400000,145965,261457,75866,R1741,2021-08-31,116,United Kingdom,United Kingdom,0,N/A,N/A
UA PORT,C4102,29143,7600000,220777,264961,77632,R1764,2021-02-09,50,Germany,Germany,0,N/A,N/A
UA PORT,C4123,78749,12200000,1492004,1561584,278705,R1783,2021-07-09,44,France,France,0,N/A,N/A
UA PORT,C4149,48126,26910000,77972,176485,22492,R1831,2021-09-16,1,Canada,Canada,0,N/A,N/A
UA PORT,C4151,19830,31100000,2884956,5037770,593033,R1766,2021-02-09,1545,United States,United States,0,N/A,N/A
UA PORT,C4225,26683,38100000,1608712,3126228,1600,Unknown,,515,France,France,0,N/A,N/A
UA PORT,C4237,81380,28729000,1271500,1330252,1600,Unknown,,192,Israel,Israel,0,N/A,N/A
UA PORT,C4299,95503,37100000,23125709,24072687,2926527,R1836,2021-09-19,914,Italy,Italy,0,N/A,N/A
UA PORT,C4321,70219,16720000,246400,751035,213977,R1818,2021-09-15,1350,India,India,0,N/A,N/A
UA PORT,C4326,19650,40400000,154943,207421,37709,R1823,2021-09-15,22,Germany,Germany,0,N/A,N/A
UA PORT,C4331,56366,40400000,766600,1142980,1600,Unknown,,61,United States,United States,0,N/A,N/A
UA PORT,C4351,34481,29100000,200500,287355,83687,R1830,2021-09-16,273,China,China,0,N/A,N/A
UA PORT,C4391,91569,41100000,32200,90947,11914,R1843,2021-09-20,41,India,India,0,N/A,N/A
UA PORT,C4401,48466,28729000,352339,373751,168684,R1875,2021-09-22,54,Republic of South Africa,Republic of South Africa,0,N/A,N/A
UA PORT,C4427,26683,31800000,805156,1259969,1600,Unknown,,227,United Kingdom,United Kingdom,0,N/A,N/A
UA PORT,C4428,26683,36300000,342362,552953,1600,Unknown,,17,France,France,0,N/A,N/A
UA PORT,C4433,26683,36300000,342362,381209,1600,Unknown,,3,France,France,0,N/A,N/A
UA PORT,C4434,26683,40890000,342362,381209,1600,Unknown,,1,France,France,0,N/A,N/A
UA PORT,C4459,1057,6400000,1906,1906,1600,Unknown,,8,France,France,0,N/A,N/A
UA PORT,C4462,1057,6400000,1906,1906,1600,Unknown,,8,France,France,0,N/A,N/A
UA PORT,C4499,90098,17120000,87884800,88962532,15834228,R1892,2021-09-23,990,Denmark,Denmark,0,N/A,N/A
UA PORT,C4536,28785,4409000,179080,374308,25180,R1898,2021-09-27,140,India,India,0,N/A,N/A
UA PORT,C599,15103,17110000,340440,515378,91269,R321,2021-01-28,300,China,China,0,N/A,N/A
UA PORT,C4568,934,36900000,113370,174026,31675,R1910,2021-09-28,46,France,France,0,N/A,N/A
UA PORT,C4569,77005,35900000,916960,1749434,1600,Unknown,,493,Denmark,Denmark,0,N/A,N/A
UA PORT,C4585,26327,36500000,970727,1000374,179173,R1918,2021-09-29,43,Germany,Germany,0,N/A,N/A
UA PORT,C4587,934,36900000,1040924,1418148,249928,R1916,2021-09-29,709,France,France,0,N/A,N/A
UA PORT,C4590,31138,6500000,33447706,34979236,1600,Unknown,,4790,Netherlands,Netherlands,0,N/A,N/A
UA PORT,C4591,31138,6500000,33447706,34979236,1600,Unknown,,4875,Netherlands,Netherlands,0,N/A,N/A
UA PORT,C4596,8232,18290000,154943,240815,70181,R1920,2021-09-29,139,Germany,Germany,0,N/A,N/A
UA PORT,C4614,20026,25600000,329326,344320,25528,R1978,2021-11-10,62,United Kingdom,United Kingdom,0,N/A,N/A
UA PORT,C4618,26683,36690000,342362,373031,1600,Unknown,,1,France,France,0,N/A,N/A
UA PORT,C4656,25178,25800000,766600,1497022,176263,R1927,2021-04-10,756,Israel,Israel,0,N/A,N/A
UA PORT,C4673,85147,40400000,342198,1893963,1600,Unknown,,273,Germany,Germany,0,N/A,N/A
UA PORT,C613,29143,35900000,147777,159368,75952,R343,2021-02-02,575,Germany,Germany,0,N/A,N/A
UA PORT,C4705,96234,11500000,18396124,25410523,1600,Unknown,,3022,Switzerland,Switzerland,0,N/A,N/A
UA PORT,C4713,934,36900000,117854,173499,31633,R1952,2021-06-10,48,United Kingdom,United Kingdom,0,N/A,N/A
UA PORT,C4722,30392,29100000,652088,1180610,338496,R1956,2021-06-10,852,Saudi Arabia,Saudi Arabia,0,N/A,N/A
UA PORT,C4725,26327,43900000,8126565,13832944,892585,R2081,2021-10-27,131,Germany,Germany,0,N/A,N/A
UA PORT,C4727,26327,36500000,38385,41450,8667,R1963,2021-07-10,45,Germany,Germany,0,N/A,N/A
UA PORT,C4729,26327,37100000,4578556,4809141,585341,R1981,2021-11-10,61,Germany,Germany,0,N/A,N/A
UA PORT,C4738,10125,41100000,306850,493053,59698,R1961,2021-07-10,246,United States,United States,0,N/A,N/A
UA PORT,C4753,82680,27130000,178711,243766,71257,R1973,2021-10-10,60,Italy,Italy,0,N/A,N/A
UA PORT,C206,84102,31900000,2936900,4054875,484059,R175,2021-05-01,2792,China,China,0,N/A,N/A
UA PORT,C4769,57991,25800000,354774,402541,50586,R2001,2021-10-13,42,Hong Kong,Hong Kong,0,N/A,N/A
UA PORT,C621,93926,27130000,211011,376491,108753,R336,2021-01-02,263,United States,United States,0,N/A,N/A
UA PORT,C4777,80198,26910000,263860,366720,45039,R1977,2021-11-10,104,United States,Greece,0,N/A,N/A
UA PORT,C4850,26327,5110000,349010,369446,26596,R2019,2021-10-17,6,Germany,Germany,0,N/A,N/A
UA PORT,C4860,47968,18500000,62650,152699,1600,Unknown,,45,Netherlands,Netherlands,0,N/A,N/A
UA PORT,C4870,41527,43700000,17789433,20386195,2462555,R2020,2021-10-17,400,United States,United States,0,N/A,N/A
UA PORT,C4876,98756,27130000,7376228,9323768,2688777,R2045,2021-10-19,1152,Italy,Italy,0,N/A,N/A
UA PORT,C4891,19650,2391000,222989,381026,26013,R2039,2021-10-19,101,Germany,Germany,0,N/A,N/A
UA PORT,C4892,22139,19890000,154225,155063,46167,R2031,2021-10-18,182,"Korea, Republic of","Korea, Republic of",0,N/A,N/A
